harness,model,variant,experiment,n_runs,composition.alternative_approaches_considered__delta,composition.alternative_approaches_considered__delta_ci,composition.alternative_approaches_considered__ratio,composition.alternative_approaches_considered__n,composition.alternatives_implemented__delta,composition.alternatives_implemented__delta_ci,composition.alternatives_implemented__ratio,composition.alternatives_implemented__n,composition.planning__delta,composition.planning__delta_ci,composition.planning__ratio,composition.planning__n,composition.hypotheses_stated__delta,composition.hypotheses_stated__delta_ci,composition.hypotheses_stated__ratio,composition.hypotheses_stated__n,composition.hypotheses_grounded__delta,composition.hypotheses_grounded__delta_ci,composition.hypotheses_grounded__ratio,composition.hypotheses_grounded__n,composition.evidence_collection__delta,composition.evidence_collection__delta_ci,composition.evidence_collection__ratio,composition.evidence_collection__n,composition.error_diagnosis__delta,composition.error_diagnosis__delta_ci,composition.error_diagnosis__ratio,composition.error_diagnosis__n,composition.self_corrections__delta,composition.self_corrections__delta_ci,composition.self_corrections__ratio,composition.self_corrections__n,composition.final_validation__delta,composition.final_validation__delta_ci,composition.final_validation__ratio,composition.final_validation__n,composition.testing_verification__delta,composition.testing_verification__delta_ci,composition.testing_verification__ratio,composition.testing_verification__n,waste.unused_branches__delta,waste.unused_branches__delta_ci,waste.unused_branches__ratio,waste.unused_branches__n,waste.task_restatements__delta,waste.task_restatements__delta_ci,waste.task_restatements__ratio,waste.task_restatements__n,waste.redundant_verification__delta,waste.redundant_verification__delta_ci,waste.redundant_verification__ratio,waste.redundant_verification__n,waste.speculative_architecture__delta,waste.speculative_architecture__delta_ci,waste.speculative_architecture__ratio,waste.speculative_architecture__n,waste.post_solution_reasoning__delta,waste.post_solution_reasoning__delta_ci,waste.post_solution_reasoning__ratio,waste.post_solution_reasoning__n,waste.planning_without_implementation__delta,waste.planning_without_implementation__delta_ci,waste.planning_without_implementation__ratio,waste.planning_without_implementation__n,quality.factual_grounding__delta,quality.factual_grounding__delta_ci,quality.factual_grounding__ratio,quality.factual_grounding__n,quality.unsupported_assumptions__delta,quality.unsupported_assumptions__delta_ci,quality.unsupported_assumptions__ratio,quality.unsupported_assumptions__n,quality.reversals_without_new_evidence__delta,quality.reversals_without_new_evidence__delta_ci,quality.reversals_without_new_evidence__ratio,quality.reversals_without_new_evidence__n,quality.task_relevance__delta,quality.task_relevance__delta_ci,quality.task_relevance__ratio,quality.task_relevance__n,quality.uncertainty_calibration__delta,quality.uncertainty_calibration__delta_ci,quality.uncertainty_calibration__ratio,quality.uncertainty_calibration__n
pi,moonshotai/Kimi-K2.6,max_certainty,screening_pi,32,0.0,"[-0.500,0.000]",0.0,32,0.0,"[0.000,0.000]",0.5,32,0.75,"[0.000,1.500]",1.417,32,0.0,"[0.000,0.250]",1.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.500,0.500]",1.0,32,0.0,"[-0.250,0.000]",0.5,32,0.0,"[0.000,0.250]",0.0,32,0.5,"[0.000,1.000]",1.5,32,1.25,"[0.500,1.750]",1.75,32,0.0,"[-0.500,0.000]",0.0,32,0.0,"[0.000,0.500]",1.0,32,1.5,"[1.500,2.000]",4.0,32,0.0,"[0.000,0.000]",0.0,32,1.5,"[1.000,2.500]",2.333,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-1.000,0.500]",1.0,32
pi,moonshotai/Kimi-K2.6,misleading_architecture,stress_pi,11,0.5,"[0.000,1.500]",2.0,11,0.0,"[0.000,1.000]",2.0,11,1.5,"[-2.000,3.000]",2.0,11,2.0,"[-0.500,2.500]",3.0,11,0.0,"[0.000,1.000]",1.0,11,0.5,"[-0.250,2.500]",1.333,11,0.5,"[0.500,1.000]",2.0,11,1.0,"[0.500,1.000]",2.0,11,0.0,"[0.000,0.500]",1.0,11,0.5,"[0.500,2.000]",1.333,11,0.5,"[0.000,1.000]",2.0,11,0.0,"[0.000,1.000]",1.0,11,0.5,"[-0.500,0.500]",2.0,11,0.0,"[0.000,1.000]",,11,1.0,"[-1.500,3.000]",1.333,11,0.0,"[0.000,0.000]",,11,-0.5,"[-1.000,0.000]",0.8,11,1.0,"[0.000,2.000]",2.667,11,0.0,"[0.000,0.000]",,11,0.0,"[-1.000,0.000]",1.0,11,-0.5,"[-1.000,0.000]",0.667,11
pi,moonshotai/Kimi-K2.6,multiple_approaches,holdout_pi,36,4.0,"[2.000,4.000]",2.0,36,1.0,"[0.000,1.000]",1.0,36,0.0,"[0.000,1.000]",1.0,36,0.0,"[0.000,0.000]",1.0,36,0.0,"[0.000,0.000]",1.0,36,0.0,"[0.000,1.000]",1.0,36,0.0,"[0.000,1.000]",1.0,36,0.0,"[0.000,1.000]",,36,0.0,"[0.000,0.000]",1.0,36,0.0,"[0.000,1.000]",1.0,36,3.0,"[2.000,3.000]",3.0,36,1.0,"[0.000,1.000]",,36,0.0,"[0.000,1.000]",1.0,36,0.0,"[0.000,0.000]",,36,0.0,"[0.000,1.000]",1.0,36,0.0,"[0.000,0.000]",,36,0.0,"[0.000,0.000]",1.0,36,0.0,"[0.000,0.000]",0.0,36,0.0,"[0.000,0.000]",,36,0.0,"[0.000,0.000]",1.0,36,0.0,"[0.000,0.000]",1.0,36
pi,moonshotai/Kimi-K2.6,multiple_approaches,screening_pi,32,3.5,"[3.500,4.000]",8.0,32,1.0,"[0.750,1.000]",2.0,32,0.0,"[-0.500,1.000]",1.0,32,0.0,"[-0.500,0.000]",1.0,32,0.0,"[-0.500,0.000]",1.0,32,0.5,"[0.000,0.500]",1.2,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[-0.250,1.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,1.000]",1.0,32,2.5,"[2.500,3.000]",6.0,32,0.0,"[0.000,0.500]",0.833,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.5,"[-0.250,1.000]",0.667,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.333,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.500,0.000]",1.0,32
pi,moonshotai/Kimi-K2.7-Code,adjacent_cleanup,screening_pi,32,1.0,"[1.000,1.250]",2.0,32,0.0,"[0.000,1.000]",0.0,32,0.75,"[0.000,1.500]",1.464,32,0.0,"[-0.500,0.000]",1.0,32,0.0,"[-0.500,0.000]",1.0,32,0.25,"[0.000,0.750]",1.167,32,0.0,"[0.000,1.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.500]",1.0,32,0.25,"[-0.500,1.000]",1.1,32,0.0,"[0.000,1.000]",3.0,32,0.0,"[0.000,0.250]",0.333,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,1.000]",0.661,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.333,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,-0.5,"[-0.500,0.000]",0.8,32
pi,moonshotai/Kimi-K2.7-Code,ambiguous_scope,stress_pi,11,0.0,"[0.000,1.000]",2.5,11,0.0,"[0.000,0.000]",1.0,11,2.0,"[0.500,3.000]",2.0,11,0.0,"[0.000,1.000]",1.0,11,0.0,"[0.000,1.000]",1.0,11,0.0,"[0.000,0.750]",1.0,11,1.0,"[0.000,2.000]",1.5,11,0.0,"[0.000,0.000]",,11,0.0,"[0.000,0.000]",1.0,11,-0.5,"[-0.500,1.500]",0.8,11,0.0,"[0.000,1.000]",2.5,11,0.0,"[-1.000,0.000]",0.0,11,0.0,"[-1.000,1.000]",0.0,11,0.0,"[0.000,0.000]",,11,0.0,"[-2.500,0.750]",0.286,11,0.0,"[0.000,1.000]",1.0,11,0.0,"[0.000,0.000]",1.0,11,0.0,"[0.000,0.500]",1.0,11,0.0,"[0.000,0.000]",,11,0.0,"[0.000,0.000]",1.0,11,-0.5,"[-0.500,0.000]",0.8,11
pi,moonshotai/Kimi-K2.7-Code,bounded_efficiency,holdout_pi,40,0.0,"[0.000,0.000]",0.0,40,0.0,"[0.000,0.000]",0.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[-0.500,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",0.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",0.5,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40
pi,moonshotai/Kimi-K2.7-Code,bounded_efficiency,screening_pi,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[-1.000,0.500]",1.0,32,0.0,"[-0.500,0.000]",1.0,32,0.0,"[-0.500,0.000]",1.0,32,0.0,"[-0.500,0.750]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,-0.5,"[-0.500,0.000]",0.733,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[-0.500,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.500,0.500]",1.0,32
pi,moonshotai/Kimi-K2.7-Code,deep_thinking,holdout_pi,40,0.0,"[0.000,1.000]",2.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40,1.0,"[0.000,1.000]",1.5,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",0.0,40,0.0,"[0.000,1.000]",1.0,40,1.0,"[0.000,1.000]",2.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,1.000]",0.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40
pi,moonshotai/Kimi-K2.7-Code,deep_thinking,screening_pi,32,0.0,"[0.000,1.000]",1.5,32,0.0,"[0.000,0.000]",0.0,32,0.25,"[-0.250,1.000]",1.167,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.500]",1.0,32,0.5,"[0.000,1.000]",1.467,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.500]",1.0,32,0.5,"[0.000,0.500]",1.2,32,0.0,"[0.000,0.250]",2.0,32,0.0,"[0.000,0.000]",0.333,32,0.0,"[0.000,0.500]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.750]",1.107,32,0.0,"[0.000,0.000]",0.5,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.500,0.500]",1.0,32
pi,moonshotai/Kimi-K2.7-Code,exhaustive_exploration,screening_pi,32,0.0,"[0.000,0.000]",0.833,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[-0.250,0.750]",1.0,32,0.0,"[-0.500,0.000]",1.0,32,0.0,"[0.000,0.500]",1.0,32,0.25,"[0.000,0.750]",1.1,32,0.0,"[0.000,1.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.5,"[0.000,0.500]",1.2,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[-0.500,1.000]",0.125,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.250,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.5,"[0.000,0.500]",1.2,32
pi,moonshotai/Kimi-K2.7-Code,max_certainty,screening_pi,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[-0.250,0.500]",1.0,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[-0.500,1.000]",1.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.750]",1.0,31,1.0,"[0.250,1.500]",1.5,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[0.000,0.000]",0.0,31,1.0,"[1.000,1.000]",1.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.500]",0.286,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[-0.250,0.000]",0.0,31,0.0,"[0.000,0.000]",2.0,31,0.0,"[0.000,0.000]",1.0,31,-0.5,"[-0.500,0.000]",0.8,31
pi,moonshotai/Kimi-K2.7-Code,misleading_architecture,stress_pi,10,1.0,"[1.000,1.000]",2.0,10,0.25,"[0.000,1.000]",1.0,10,1.5,"[-1.000,2.000]",2.5,10,1.0,"[1.000,2.000]",2.0,10,0.5,"[0.000,1.000]",1.167,10,0.75,"[-1.000,1.000]",1.75,10,0.5,"[0.000,1.000]",1.0,10,1.0,"[0.000,1.000]",,10,0.0,"[0.000,0.500]",1.0,10,0.0,"[-1.000,1.500]",1.0,10,1.0,"[1.000,1.000]",2.0,10,0.0,"[0.000,0.500]",0.5,10,0.0,"[-0.500,1.000]",0.0,10,0.0,"[0.000,0.000]",,10,0.0,"[-2.500,1.500]",0.286,10,0.0,"[-0.500,0.000]",0.0,10,-1.0,"[-1.000,0.000]",0.667,10,1.0,"[0.000,1.500]",3.0,10,0.0,"[0.000,0.000]",,10,0.0,"[-1.000,0.000]",1.0,10,-0.5,"[-1.000,-0.250]",0.8,10
pi,moonshotai/Kimi-K2.7-Code,multiple_approaches,holdout_pi,38,3.5,"[3.000,4.000]",5.0,38,1.0,"[0.500,1.000]",1.0,38,1.0,"[1.000,2.000]",2.0,38,0.0,"[0.000,0.000]",1.0,38,0.0,"[0.000,0.000]",1.0,38,0.0,"[0.000,1.000]",1.0,38,0.0,"[0.000,0.000]",1.0,38,0.0,"[0.000,0.500]",0.0,38,0.0,"[0.000,0.000]",1.0,38,1.0,"[0.000,1.000]",2.0,38,3.0,"[2.000,3.000]",,38,0.0,"[0.000,1.000]",,38,0.0,"[0.000,1.000]",,38,0.0,"[0.000,0.000]",,38,1.0,"[0.000,2.000]",1.0,38,0.0,"[0.000,0.000]",,38,0.0,"[0.000,0.000]",1.0,38,0.0,"[0.000,0.000]",,38,0.0,"[0.000,0.000]",,38,0.0,"[0.000,0.000]",1.0,38,0.0,"[0.000,0.000]",1.0,38
pi,moonshotai/Kimi-K2.7-Code,multiple_approaches,screening_pi,32,3.5,"[3.000,4.000]",5.5,32,1.0,"[0.500,1.000]",2.0,32,0.75,"[0.000,1.000]",1.429,32,0.0,"[-0.500,0.000]",1.0,32,0.0,"[-0.500,0.000]",1.0,32,0.5,"[0.000,0.500]",1.333,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.250]",0.0,32,0.0,"[0.000,0.500]",1.0,32,0.5,"[0.000,0.500]",1.2,32,3.0,"[2.000,3.000]",4.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.5,"[0.000,1.000]",1.333,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.500]",2.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.500,0.250]",1.0,32
pi,moonshotai/Kimi-K3,bounded_efficiency,kimi3_pi,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,1.000]",1.0,18,0.0,"[0.000,0.000]",0.0,18,0.0,"[0.000,0.000]",1.0,18,0.0,"[-1.000,1.000]",0.0,18,0.0,"[0.000,0.000]",1.0,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",1.0,18,0.0,"[0.000,0.000]",1.0,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",,18,0.0,"[-0.500,0.000]",0.0,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",0.0,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",1.0,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",1.0,18,0.0,"[-1.000,0.000]",1.0,18
pi,moonshotai/Kimi-K3,deep_thinking,kimi3_pi,18,0.0,"[0.000,2.000]",,18,0.0,"[0.000,1.000]",,18,1.0,"[1.000,2.500]",1.5,18,1.0,"[0.000,2.000]",1.0,18,1.0,"[0.000,2.000]",1.0,18,1.0,"[0.000,2.000]",2.0,18,0.0,"[0.000,0.000]",1.0,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",1.0,18,1.0,"[0.000,1.000]",1.75,18,0.0,"[0.000,1.000]",,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,1.000]",0.0,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,1.500]",1.0,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",1.0,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",1.0,18,0.0,"[0.000,0.500]",1.0,18
pi,moonshotai/Kimi-K3,multiple_approaches,kimi3_pi,18,4.0,"[3.000,4.000]",,18,1.0,"[1.000,1.000]",,18,1.0,"[1.000,2.000]",2.0,18,1.0,"[0.000,1.000]",1.0,18,1.0,"[0.000,1.000]",1.0,18,0.5,"[0.000,2.000]",1.0,18,0.0,"[-0.500,1.000]",0.5,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,1.000]",1.0,18,0.0,"[0.000,0.500]",1.0,18,3.0,"[2.000,3.000]",,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",0.0,18,0.0,"[0.000,0.000]",,18,0.0,"[-0.500,1.000]",0.75,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",1.0,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",,18,0.0,"[0.000,0.000]",1.0,18,0.0,"[0.000,0.500]",1.0,18
pi,nvidia/nemotron-3-ultra-550b-a55b,adjacent_cleanup,screening_pi,31,0.0,"[0.000,0.000]",2.0,31,0.0,"[0.000,0.000]",0.0,31,0.5,"[0.000,1.000]",1.333,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[-0.500,0.500]",1.0,31,0.0,"[0.000,0.500]",0.5,31,0.0,"[0.000,0.250]",0.0,31,0.0,"[0.000,0.500]",1.0,31,0.5,"[0.000,1.000]",1.333,31,0.0,"[0.000,0.000]",2.0,31,0.0,"[0.000,0.000]",0.0,31,1.0,"[0.000,1.000]",2.0,31,0.0,"[0.000,0.000]",,31,1.0,"[0.000,1.000]",1.5,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[0.000,0.000]",0.0,31,0.0,"[0.000,0.000]",,31,0.0,"[0.000,0.000]",1.0,31,0.0,"[-1.000,0.000]",1.0,31
pi,nvidia/nemotron-3-ultra-550b-a55b,ambiguous_scope,stress_pi,12,0.0,"[0.000,0.000]",2.0,12,0.0,"[0.000,0.000]",1.0,12,0.0,"[-1.500,1.000]",1.0,12,0.0,"[0.000,0.500]",1.0,12,0.0,"[0.000,0.500]",1.0,12,0.5,"[-0.500,0.750]",1.333,12,0.25,"[0.000,1.000]",1.0,12,-0.25,"[-0.750,0.000]",0.0,12,-0.25,"[-0.500,0.000]",0.833,12,0.0,"[-2.750,1.000]",1.0,12,0.0,"[0.000,0.000]",1.0,12,-0.25,"[-0.750,0.000]",0.0,12,-0.25,"[-1.000,0.000]",0.0,12,0.0,"[0.000,0.500]",,12,0.0,"[-1.000,1.000]",0.5,12,0.0,"[-0.250,0.000]",0.0,12,0.0,"[-0.500,0.000]",1.0,12,0.0,"[-0.250,1.000]",1.0,12,0.0,"[0.000,0.000]",,12,0.0,"[-1.500,0.000]",1.0,12,0.0,"[-1.000,0.250]",1.0,12
pi,nvidia/nemotron-3-ultra-550b-a55b,bounded_efficiency,holdout_pi,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[-1.000,1.000]",1.0,40,0.0,"[-0.500,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[-0.500,1.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,1.000]",0.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40
pi,nvidia/nemotron-3-ultra-550b-a55b,bounded_efficiency,screening_pi,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[-0.500,0.500]",1.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",1.0,32,0.25,"[-0.500,0.500]",1.167,32,0.5,"[0.000,1.000]",1.5,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[-0.500,0.000]",1.0,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.5,32,0.0,"[0.000,0.000]",,32,0.0,"[-0.500,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",1.0,32
pi,nvidia/nemotron-3-ultra-550b-a55b,deep_thinking,holdout_pi,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[-1.000,1.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,1.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",,40,0.0,"[0.000,0.000]",1.0,40,0.0,"[0.000,0.000]",1.0,40
pi,nvidia/nemotron-3-ultra-550b-a55b,deep_thinking,screening_pi,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",1.0,32,0.5,"[-0.500,1.000]",1.333,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[-0.500,0.500]",1.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.500]",0.0,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",1.0,32
pi,nvidia/nemotron-3-ultra-550b-a55b,exhaustive_exploration,screening_pi,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.250]",1.0,32,0.0,"[0.000,0.250]",1.0,32,-0.25,"[-0.500,0.500]",0.9,32,0.5,"[0.000,0.500]",2.0,32,0.0,"[0.000,0.000]",1.5,32,0.0,"[-0.500,0.000]",1.0,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",0.5,32,0.0,"[0.000,0.000]",,32,0.0,"[-0.500,0.750]",0.583,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.500]",1.0,32
pi,nvidia/nemotron-3-ultra-550b-a55b,max_certainty,screening_pi,32,0.0,"[0.000,0.000]",2.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.250]",1.0,32,0.0,"[0.000,0.250]",1.0,32,0.0,"[-0.500,0.500]",1.0,32,0.0,"[0.000,0.500]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.5,"[0.000,0.500]",1.333,32,1.0,"[0.500,1.500]",1.5,32,0.0,"[0.000,0.000]",2.0,32,0.0,"[-0.500,0.000]",0.0,32,1.0,"[0.500,1.000]",2.0,32,0.0,"[0.000,0.000]",,32,0.75,"[0.000,1.000]",1.75,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[0.000,0.000]",0.0,32,0.0,"[0.000,0.000]",,32,0.0,"[0.000,0.000]",1.0,32,0.0,"[-0.500,0.000]",1.0,32
